"104.800352,37.525603"
"106.072005,38.614903"
"106.518359,38.283502"
"88.133297,43.869685"
"89.243948,43.000369"
"87.036053,48.685803"
"84.229002,43.292482"
"89.886786,47.221265"
"76.972508,38.047465"
"87.375758,43.431334"
"86.730998,41.908907"
"75.993087,39.477251"
"82.043532,43.094148"
"84.135034,43.027113"
"85.746345,48.37248"
